yearid,replevel,subject,DenominatorType,disname,discode,schname,schcode,grade,NumberStudents,plevel1,plevel2,plevel3,plevel4,pAboveprof,pBelowProf,AvgScore
2016,sch,mat,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (H),28615,0,30 - 35,<10,<10,24,71,>90,<10,NULL
2016,sch,mat,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (H),28615,11,30 - 35,<10,<10,24,71,>90,<10,671
2016,sch,rea,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (H),28615,0,30 - 35,<10,<10,26,74,>90,<10,NULL
2016,sch,rea,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (H),28615,11,30 - 35,<10,<10,26,74,>90,<10,662
2016,sch,sci,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (H),28615,0,30 - 35,<10,15,67,18,85,15,NULL
2016,sch,sci,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (H),28615,11,30 - 35,<10,15,67,18,85,15,NULL
2016,sch,mat,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (M),28580,0,330 - 335,<10,<10,28,64,>90,<10,NULL
2016,sch,mat,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (M),28580,6,105 - 110,<10,<10,31,63,>90,<10,2642
2016,sch,mat,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (M),28580,7,115 - 120,<10,11,28,61,89,11,2661
2016,sch,mat,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (M),28580,8,105 - 110,<10,<10,25,69,>90,<10,2695
2016,sch,rea,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (M),28580,0,330 - 335,<10,<10,37,53,90,10,NULL
2016,sch,rea,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (M),28580,6,105 - 110,<10,<10,37,56,>90,<10,2622
2016,sch,rea,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (M),28580,7,115 - 120,<10,14,34,50,85,15,2639
2016,sch,rea,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (M),28580,8,105 - 110,<10,<10,41,52,>90,<10,2668
2016,sch,sci,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (M),28580,0,105 - 110,<10,38,56,<10,57,43,NULL
2016,sch,sci,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (M),28580,8,105 - 110,<10,38,56,<10,57,43,NULL
2016,sch,mat,Regular,Allenstown,9,Allenstown Elementary School,22580,0,75 - 80,18,34,33,15,48,52,NULL
2016,sch,mat,Regular,Allenstown,9,Allenstown Elementary School,22580,3,35 - 40,21,26,33,21,54,46,2452
2016,sch,mat,Regular,Allenstown,9,Allenstown Elementary School,22580,4,40 - 45,15,43,33,10,43,58,2471
2016,sch,rea,Regular,Allenstown,9,Allenstown Elementary School,22580,0,75 - 80,19,33,22,27,48,52,NULL
2016,sch,rea,Regular,Allenstown,9,Allenstown Elementary School,22580,3,35 - 40,10,38,15,36,51,49,2456
2016,sch,rea,Regular,Allenstown,9,Allenstown Elementary School,22580,4,40 - 45,28,28,28,18,45,55,2460
2016,sch,sci,Regular,Allenstown,9,Allenstown Elementary School,22580,0,40 - 45,<10,45,48,<10,48,53,NULL
2016,sch,sci,Regular,Allenstown,9,Allenstown Elementary School,22580,4,40 - 45,<10,45,48,<10,48,53,NULL
2016,sch,mat,Regular,Allenstown,9,Armand R. Dupont School,22575,0,155 - 160,32,35,20,13,32,68,NULL
2016,sch,mat,Regular,Allenstown,9,Armand R. Dupont School,22575,5,40 - 45,43,30,15,13,28,73,2478
2016,sch,mat,Regular,Allenstown,9,Armand R. Dupont School,22575,6,25 - 30,32,32,29,<10,36,64,2509
2016,sch,mat,Regular,Allenstown,9,Armand R. Dupont School,22575,7,35 - 40,20,46,29,<10,34,66,2535
2016,sch,mat,Regular,Allenstown,9,Armand R. Dupont School,22575,8,50 - 55,33,33,13,20,33,67,2564
2016,sch,rea,Regular,Allenstown,9,Armand R. Dupont School,22575,0,155 - 160,20,24,42,14,56,44,NULL
2016,sch,rea,Regular,Allenstown,9,Armand R. Dupont School,22575,5,40 - 45,33,23,30,15,45,55,2481
2016,sch,rea,Regular,Allenstown,9,Armand R. Dupont School,22575,6,25 - 30,25,21,46,<10,54,46,2526
2016,sch,rea,Regular,Allenstown,9,Armand R. Dupont School,22575,7,35 - 40,17,26,51,<10,57,43,2546
2016,sch,rea,Regular,Allenstown,9,Armand R. Dupont School,22575,8,50 - 55,11,24,43,22,65,35,2595
2016,sch,sci,Regular,Allenstown,9,Armand R. Dupont School,22575,0,50 - 55,19,53,26,<10,28,72,NULL
2016,sch,sci,Regular,Allenstown,9,Armand R. Dupont School,22575,8,50 - 55,19,53,26,<10,28,72,NULL
2016,sch,mat,Regular,Alton,15,Alton Central School (Elem),22480,0,270 - 275,17,36,34,13,47,53,NULL
2016,sch,mat,Regular,Alton,15,Alton Central School (Elem),22480,3,40 - 45,15,29,44,12,56,44,2441
2016,sch,mat,Regular,Alton,15,Alton Central School (Elem),22480,4,45 - 50,18,37,35,10,45,55,2474
2016,sch,mat,Regular,Alton,15,Alton Central School (Elem),22480,5,45 - 50,17,33,30,20,50,50,2524
2016,sch,mat,Regular,Alton,15,Alton Central School (Elem),22480,6,40 - 45,14,39,39,<10,48,52,2542
2016,sch,mat,Regular,Alton,15,Alton Central School (Elem),22480,7,55 - 60,16,33,33,18,51,49,2569
2016,sch,mat,Regular,Alton,15,Alton Central School (Elem),22480,8,35 - 40,20,49,26,<10,31,69,2555
2016,sch,rea,Regular,Alton,15,Alton Central School (Elem),22480,0,275 - 280,16,22,39,23,62,38,NULL
2016,sch,rea,Regular,Alton,15,Alton Central School (Elem),22480,3,40 - 45,10,27,29,34,63,37,2458
