yearid,replevel,subject,DenominatorType,disname,discode,schname,schcode,grade,NumberStudents,plevel1text,plevel2text,plevel3text,plevel4text,pAboveProftext,pbelowProfText,AvgScore
2021,sch,mat,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (H),28615,0,60 - 65,< 10 %,< 10 %,38,62,> 90 %,< 10 %,
2021,sch,mat,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (H),28615,11,60 - 65,< 10 %,< 10 %,38,62,> 90 %,< 10 %,672
2021,sch,rea,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (H),28615,0,60 - 65,< 10 %,< 10 %,38,60,> 90 %,< 10 %,
2021,sch,rea,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (H),28615,11,60 - 65,< 10 %,< 10 %,38,60,> 90 %,< 10 %,651
2021,sch,sci,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (H),28615,0,25 - 30,< 10 %,< 10 %,65,35,> 90 %,< 10 %,
2021,sch,sci,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (H),28615,11,25 - 30,< 10 %,< 10 %,65,35,> 90 %,< 10 %,1174
2021,sch,mat,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (M),28580,0,170 - 175,< 10 %,12,26,58,84,16,
2021,sch,mat,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (M),28580,6,65 - 70,< 10 %,< 10 %,35,54,88,12,564
2021,sch,mat,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (M),28580,7,55 - 60,< 10 %,14,25,59,85,15,598
2021,sch,mat,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (M),28580,8,40 - 45,< 10 %,14,12,65,77,23,640
2021,sch,rea,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (M),28580,0,170 - 175,< 10 %,16,44,40,83,17,
2021,sch,rea,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (M),28580,6,70 - 75,< 10 %,18,45,35,80,20,672
2021,sch,rea,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (M),28580,7,60 - 65,< 10 %,17,47,35,82,18,680
2021,sch,rea,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (M),28580,8,40 - 45,< 10 %,< 10 %,37,53,> 90 %,< 10 %,704
2021,sch,sci,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (M),28580,0,40 - 45,14,12,48,26,74,26,
2021,sch,sci,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (M),28580,8,40 - 45,14,12,48,26,74,26,860
2021,sch,mat,Regular,Allenstown,9,Allenstown Elementary School,22580,0,65 - 70,23,26,34,17,51,49,
2021,sch,mat,Regular,Allenstown,9,Allenstown Elementary School,22580,3,20 - 25,21,17,33,29,63,38,435
2021,sch,mat,Regular,Allenstown,9,Allenstown Elementary School,22580,4,40 - 45,24,32,34,10,44,56,453
2021,sch,rea,Regular,Allenstown,9,Allenstown Elementary School,22580,0,65 - 70,18,31,32,18,51,49,
2021,sch,rea,Regular,Allenstown,9,Allenstown Elementary School,22580,3,20 - 25,17,38,25,21,46,54,586
2021,sch,rea,Regular,Allenstown,9,Allenstown Elementary School,22580,4,40 - 45,20,27,37,17,54,46,606
2021,sch,mat,Regular,Allenstown,9,Armand R. Dupont School,22575,0,135 - 140,46,34,15,< 10 %,21,79,
2021,sch,mat,Regular,Allenstown,9,Armand R. Dupont School,22575,5,35 - 40,64,28,< 10 %,< 10 %,< 10 %,> 90 %,450
2021,sch,mat,Regular,Allenstown,9,Armand R. Dupont School,22575,6,30 - 35,44,38,19,< 10 %,19,81,478
2021,sch,mat,Regular,Allenstown,9,Armand R. Dupont School,22575,7,30 - 35,35,41,18,< 10 %,24,76,523
2021,sch,mat,Regular,Allenstown,9,Armand R. Dupont School,22575,8,30 - 35,38,29,18,15,32,68,561
2021,sch,rea,Regular,Allenstown,9,Armand R. Dupont School,22575,0,135 - 140,32,25,36,< 10 %,43,57,
2021,sch,rea,Regular,Allenstown,9,Armand R. Dupont School,22575,5,35 - 40,42,25,28,< 10 %,33,67,601
2021,sch,rea,Regular,Allenstown,9,Armand R. Dupont School,22575,6,30 - 35,38,16,47,< 10 %,47,53,622
2021,sch,rea,Regular,Allenstown,9,Armand R. Dupont School,22575,7,30 - 35,18,26,44,12,56,44,646
2021,sch,rea,Regular,Allenstown,9,Armand R. Dupont School,22575,8,30 - 35,32,32,26,< 10 %,35,65,645
2021,sch,sci,Regular,Allenstown,9,Armand R. Dupont School,22575,0,65 - 70,42,29,23,< 10 %,29,71,
2021,sch,sci,Regular,Allenstown,9,Armand R. Dupont School,22575,5,35 - 40,34,40,26,< 10 %,26,74,546
2021,sch,sci,Regular,Allenstown,9,Armand R. Dupont School,22575,8,30 - 35,50,18,21,12,32,68,848
2021,sch,mat,Regular,Alton,15,Alton Central School (Elem),22480,0,175 - 180,36,32,25,< 10 %,32,68,
2021,sch,mat,Regular,Alton,15,Alton Central School (Elem),22480,3,30 - 35,15,18,47,21,68,32,436
2021,sch,mat,Regular,Alton,15,Alton Central School (Elem),22480,4,20 - 25,63,21,17,< 10 %,17,83,427
2021,sch,mat,Regular,Alton,15,Alton Central School (Elem),22480,5,20 - 25,45,32,18,< 10 %,23,77,462
2021,sch,mat,Regular,Alton,15,Alton Central School (Elem),22480,6,40 - 45,23,48,25,< 10 %,30,70,498
2021,sch,mat,Regular,Alton,15,Alton Central School (Elem),22480,7,25 - 30,38,38,23,< 10 %,23,77,519
2021,sch,mat,Regular,Alton,15,Alton Central School (Elem),22480,8,30 - 35,45,33,12,< 10 %,21,79,544
2021,sch,rea,Regular,Alton,15,Alton Central School (Elem),22480,0,175 - 180,33,27,24,16,40,60,
2021,sch,rea,Regular,Alton,15,Alton Central School (Elem),22480,3,30 - 35,24,18,26,32,59,41,588
2021,sch,rea,Regular,Alton,15,Alton Central School (Elem),22480,4,20 - 25,42,33,< 10 %,17,25,75,587
2021,sch,rea,Regular,Alton,15,Alton Central School (Elem),22480,5,20 - 25,41,27,18,14,32,68,600
2021,sch,rea,Regular,Alton,15,Alton Central School (Elem),22480,6,35 - 40,28,28,31,13,44,56,636
2021,sch,rea,Regular,Alton,15,Alton Central School (Elem),22480,7,25 - 30,35,23,31,12,42,58,637
2021,sch,rea,Regular,Alton,15,Alton Central School (Elem),22480,8,30 - 35,38,31,25,< 10 %,31,69,638
2021,sch,sci,Regular,Alton,15,Alton Central School (Elem),22480,0,50 - 55,59,20,17,< 10 %,20,80,
2021,sch,sci,Regular,Alton,15,Alton Central School (Elem),22480,5,20 - 25,50,23,23,< 10 %,27,73,544
2021,sch,sci,Regular,Alton,15,Alton Central School (Elem),22480,8,30 - 35,66,19,13,< 10 %,16,84,841
2021,sch,mat,Regular,Amherst,17,Amherst Middle School,21745,0,410 - 415,22,34,23,20,43,57,
2021,sch,mat,Regular,Amherst,17,Amherst Middle School,21745,5,95 - 100,19,39,24,17,42,58,490
2021,sch,mat,Regular,Amherst,17,Amherst Middle School,21745,6,105 - 110,23,33,26,18,44,56,510
2021,sch,mat,Regular,Amherst,17,Amherst Middle School,21745,7,130 - 135,19,37,25,18,43,57,548
