yearid,Level of Data,Subject,DenominatorType,District,Discode,School,Schcode,Grade,NumberStudents,plevel1,plevel2,plevel3,plevel4,pAboveprof,pBelowProf,AvgScore
2022,sch,mat,Regular,Allenstown,9,Armand R. Dupont School,22575,0,135 - 140,38,34,19,< 10 %,28,72,
2022,sch,mat,Regular,Allenstown,9,Armand R. Dupont School,22575,5,35 - 40,39,32,18,11,29,71,466
2022,sch,mat,Regular,Allenstown,9,Armand R. Dupont School,22575,6,35 - 40,46,32,16,< 10 %,22,78,485
2022,sch,mat,Regular,Allenstown,9,Armand R. Dupont School,22575,7,25 - 30,34,41,21,< 10 %,24,76,511
2022,sch,mat,Regular,Allenstown,9,Armand R. Dupont School,22575,8,30 - 35,30,33,21,15,36,64,561
2022,sch,rea,Regular,Allenstown,9,Armand R. Dupont School,22575,0,135 - 140,23,28,39,10,49,51,
2022,sch,rea,Regular,Allenstown,9,Armand R. Dupont School,22575,5,35 - 40,24,37,24,16,39,61,615
2022,sch,rea,Regular,Allenstown,9,Armand R. Dupont School,22575,6,35 - 40,22,32,43,< 10 %,46,54,627
2022,sch,rea,Regular,Allenstown,9,Armand R. Dupont School,22575,7,25 - 30,28,24,45,< 10 %,48,52,636
2022,sch,rea,Regular,Allenstown,9,Armand R. Dupont School,22575,8,30 - 35,18,18,45,18,64,36,672
2022,sch,sci,Regular,Allenstown,9,Armand R. Dupont School,22575,0,70 - 75,44,13,29,14,43,57,
2022,sch,sci,Regular,Allenstown,9,Armand R. Dupont School,22575,5,35 - 40,53,11,24,13,37,63,545
2022,sch,sci,Regular,Allenstown,9,Armand R. Dupont School,22575,8,30 - 35,34,16,34,16,50,50,853
2022,sch,mat,Regular,Allenstown,9,Allenstown Elementary School,22580,0,50 - 55,31,33,21,15,37,63,
2022,sch,mat,Regular,Allenstown,9,Allenstown Elementary School,22580,3,30 - 35,35,19,23,23,45,55,429
2022,sch,mat,Regular,Allenstown,9,Allenstown Elementary School,22580,4,20 - 25,24,52,19,< 10 %,24,76,448
2022,sch,rea,Regular,Allenstown,9,Allenstown Elementary School,22580,0,50 - 55,38,21,15,25,40,60,
2022,sch,rea,Regular,Allenstown,9,Allenstown Elementary School,22580,3,30 - 35,32,26,16,26,42,58,573
2022,sch,rea,Regular,Allenstown,9,Allenstown Elementary School,22580,4,20 - 25,48,14,14,24,38,62,589
2022,sch,mat,Regular,Alton,15,Alton Central School (Elem),22480,0,245 - 250,35,37,19,< 10 %,28,72,
2022,sch,mat,Regular,Alton,15,Alton Central School (Elem),22480,3,35 - 40,15,28,41,15,56,44,432
2022,sch,mat,Regular,Alton,15,Alton Central School (Elem),22480,4,40 - 45,27,30,36,< 10 %,43,57,447
2022,sch,mat,Regular,Alton,15,Alton Central School (Elem),22480,5,35 - 40,70,24,< 10 %,< 10 %,< 10 %,> 90 %,449
2022,sch,mat,Regular,Alton,15,Alton Central School (Elem),22480,6,30 - 35,42,42,< 10 %,< 10 %,15,85,485
2022,sch,mat,Regular,Alton,15,Alton Central School (Elem),22480,7,45 - 50,33,44,13,< 10 %,22,78,520
2022,sch,mat,Regular,Alton,15,Alton Central School (Elem),22480,8,45 - 50,29,51,10,10,20,80,559
2022,sch,rea,Regular,Alton,15,Alton Central School (Elem),22480,0,245 - 250,35,23,33,< 10 %,43,57,
2022,sch,rea,Regular,Alton,15,Alton Central School (Elem),22480,3,35 - 40,44,26,28,< 10 %,31,69,566
2022,sch,rea,Regular,Alton,15,Alton Central School (Elem),22480,4,40 - 45,48,16,18,18,36,64,580
2022,sch,rea,Regular,Alton,15,Alton Central School (Elem),22480,5,35 - 40,41,24,27,< 10 %,35,65,610
2022,sch,rea,Regular,Alton,15,Alton Central School (Elem),22480,6,30 - 35,33,18,42,< 10 %,48,52,632
2022,sch,rea,Regular,Alton,15,Alton Central School (Elem),22480,7,45 - 50,24,31,40,< 10 %,44,56,635
2022,sch,rea,Regular,Alton,15,Alton Central School (Elem),22480,8,45 - 50,22,20,43,14,57,43,665
2022,sch,sci,Regular,Alton,15,Alton Central School (Elem),22480,0,85 - 90,52,21,17,< 10 %,27,73,
2022,sch,sci,Regular,Alton,15,Alton Central School (Elem),22480,5,35 - 40,68,14,14,< 10 %,19,81,537
2022,sch,sci,Regular,Alton,15,Alton Central School (Elem),22480,8,45 - 50,41,27,20,12,33,67,849
2022,sch,mat,Regular,Amherst,17,Amherst Middle School,21745,0,590 - 595,21,31,25,23,48,52,
2022,sch,mat,Regular,Amherst,17,Amherst Middle School,21745,5,135 - 140,25,33,21,21,42,58,490
2022,sch,mat,Regular,Amherst,17,Amherst Middle School,21745,6,120 - 125,11,31,31,26,57,43,526
2022,sch,mat,Regular,Amherst,17,Amherst Middle School,21745,7,160 - 165,16,33,29,23,51,49,550
2022,sch,mat,Regular,Amherst,17,Amherst Middle School,21745,8,170 - 175,29,28,22,22,43,57,572
2022,sch,rea,Regular,Amherst,17,Amherst Middle School,21745,0,590 - 595,20,25,41,14,55,45,
2022,sch,rea,Regular,Amherst,17,Amherst Middle School,21745,5,140 - 145,24,22,39,15,54,46,623
2022,sch,rea,Regular,Amherst,17,Amherst Middle School,21745,6,120 - 125,< 10 %,24,49,19,68,32,656
2022,sch,rea,Regular,Amherst,17,Amherst Middle School,21745,7,155 - 160,13,31,46,< 10 %,56,44,650
2022,sch,rea,Regular,Amherst,17,Amherst Middle School,21745,8,170 - 175,32,22,33,13,46,54,653
2022,sch,sci,Regular,Amherst,17,Amherst Middle School,21745,0,310 - 315,33,21,31,15,46,54,
2022,sch,sci,Regular,Amherst,17,Amherst Middle School,21745,5,135 - 140,30,20,29,20,49,51,553
2022,sch,sci,Regular,Amherst,17,Amherst Middle School,21745,8,170 - 175,35,21,33,11,44,56,851
2022,sch,mat,Regular,Amherst,17,Clark-Wilkins School,21750,0,265 - 270,10,17,35,37,73,27,
2022,sch,mat,Regular,Amherst,17,Clark-Wilkins School,21750,3,140 - 145,13,16,30,40,70,30,445
2022,sch,mat,Regular,Amherst,17,Clark-Wilkins School,21750,4,125 - 130,< 10 %,17,40,35,75,25,480
2022,sch,rea,Regular,Amherst,17,Clark-Wilkins School,21750,0,260 - 265,13,22,27,39,65,35,
