,schname,pAboveprof
54,Amherst Middle School,81
235,Ross A. Lurgio Middle School,88
613,Great Brook School,72
663,South Meadow School,63
1273,Mountain View Middle School,74
1607,Hillsboro-Deering Middle School,60
1679,Hollis-Brookline Middle School,81
1766,Hudson Memorial School,64
2211,Litchfield Middle School,70
2394,Henry J. McLaughlin Middle School,56
2416,Hillside Middle School,58
2468,Middle School At Parkside,53
2514,Southside Middle School,46
2591,Boynton Middle School,68
2685,Merrimack Middle School,74
2818,Milford Middle School,75
3049,Elm Street Middle School,49
3069,Fairgrounds Middle School,65
3137,Pennichuck Middle School,58
3480,Pelham Memorial School,74
4487,Weare Middle School,74
4621,Wilton-Lyndeboro Middle School,62
