schname,pAboveprof
Amherst Middle School,70.33333333333333
Boynton Middle School,32.333333333333336
Elm Street Middle School,33.666666666666664
Fairgrounds Middle School,32.0
Great Brook School,37.333333333333336
Henry J. McLaughlin Middle School,20.333333333333332
Hillsboro-Deering Middle School,34.666666666666664
Hillside Middle School,24.666666666666668
Hollis-Brookline Middle School,55.333333333333336
Hudson Memorial School,40.0
Litchfield Middle School,58.0
Merrimack Middle School,48.666666666666664
Middle School At Parkside,17.666666666666668
Milford Middle School,49.0
Mountain View Middle School,37.666666666666664
Pelham Memorial School,38.333333333333336
Pennichuck Middle School,33.666666666666664
Ross A. Lurgio Middle School,60.333333333333336
South Meadow School,34.666666666666664
Southside Middle School,18.0
Weare Middle School,37.666666666666664
Wilton-Lyndeboro Middle School,32.666666666666664
