,schname,subject,pAboveprof
58,Amherst Middle School,sci,50
235,Ross A. Lurgio Middle School,sci,36
653,Great Brook School,sci,21
705,South Meadow School,sci,21
1328,Mountain View Middle School,sci,24
1661,Hillsboro-Deering Middle School,sci,10
1728,Hollis Brookline Middle School,sci,40
1824,Hudson Memorial School,sci,23
2290,Litchfield Middle School,sci,26
2481,Henry J. McLaughlin Middle School,sci,11
2503,Hillside Middle School,sci,11
2555,Middle School At Parkside,sci,17
2601,Southside Middle School,sci,16
2688,Boynton Middle School,sci,25
2782,Merrimack Middle School,sci,26
2916,Milford Middle School,sci,23
3155,Elm Street Middle School,sci,17
3175,Fairgrounds Middle School,sci,31
3245,Pennichuck Middle School,sci,22
3596,Pelham Memorial School,sci,22
4581,Weare Middle School,sci,23
4690,Wilton-Lyndeboro Middle School,sci,11
