,schname,pAboveprof
58,Amherst Middle School,50
235,Ross A. Lurgio Middle School,36
653,Great Brook School,21
705,South Meadow School,21
1328,Mountain View Middle School,24
1661,Hillsboro-Deering Middle School,10
1728,Hollis Brookline Middle School,40
1824,Hudson Memorial School,23
2290,Litchfield Middle School,26
2481,Henry J. McLaughlin Middle School,11
2503,Hillside Middle School,11
2555,Middle School At Parkside,17
2601,Southside Middle School,16
2688,Boynton Middle School,25
2782,Merrimack Middle School,26
2916,Milford Middle School,23
3155,Elm Street Middle School,17
3175,Fairgrounds Middle School,31
3245,Pennichuck Middle School,22
3596,Pelham Memorial School,22
4581,Weare Middle School,23
4690,Wilton-Lyndeboro Middle School,11
